product_category_name,product_category_name_english,Category
beleza_saude,health_beauty,Health Cares
informatica_acessorios,computers_accessories,Entertainment
automotivo,auto,Cars
cama_mesa_banho,bed_bath_table,Home
moveis_decoracao,furniture_decor,Home
esporte_lazer,sports_leisure,Entertainment
perfumaria,perfumery,Accessories
utilidades_domesticas,housewares,Home
telefonia,telephony,Accessories
relogios_presentes,watches_gifts,Accessories
alimentos_bebidas,food_drink,Foods
bebes,baby,Health Cares
papelaria,stationery,Education
tablets_impressao_imagem,tablets_printing_image,Accessories
brinquedos,toys,Education
telefonia_fixa,fixed_telephony,Accessories
ferramentas_jardim,garden_tools,Home
fashion_bolsas_e_acessorios,fashion_bags_accessories,Accessories
eletroportateis,small_appliances,Home
consoles_games,consoles_games,Entertainment
audio,audio,Entertainment
fashion_calcados,fashion_shoes,Accessories
cool_stuff,cool_stuff,Entertainment
malas_acessorios,luggage_accessories,Accessories
climatizacao,air_conditioning,Home
construcao_ferramentas_construcao,construction_tools_construction,Home
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,Home
construcao_ferramentas_jardim,costruction_tools_garden,Home
fashion_roupa_masculina,fashion_male_clothing,Accessories
pet_shop,pet_shop,Health Cares
moveis_escritorio,office_furniture,Office
market_place,market_place,Entertainment
eletronicos,electronics,Accessories
eletrodomesticos,home_appliances,Home
artigos_de_festas,party_supplies,Entertainment
casa_conforto,home_confort,Home
construcao_ferramentas_ferramentas,costruction_tools_tools,Construction
agro_industria_e_comercio,agro_industry_and_commerce,Home
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,Home
livros_tecnicos,books_technical,Education
casa_construcao,home_construction,Construction
instrumentos_musicais,musical_instruments,Entertainment
moveis_sala,furniture_living_room,Home
construcao_ferramentas_iluminacao,construction_tools_lights,Construction
industria_comercio_e_negocios,industry_commerce_and_business,Entertainment
alimentos,food,Foods
artes,art,Entertainment
moveis_quarto,furniture_bedroom,Home
livros_interesse_geral,books_general_interest,Education
construcao_ferramentas_seguranca,construction_tools_safety,Construction
fashion_underwear_e_moda_praia,fashion_underwear_beach,Accessories
fashion_esporte,fashion_sport,Accessories
sinalizacao_e_seguranca,signaling_and_security,Security
pcs,computers,Entertainment
artigos_de_natal,christmas_supplies,Home
fashion_roupa_feminina,fashio_female_clothing,Accessories
eletrodomesticos_2,home_appliances_2,Home
livros_importados,books_imported,Education
bebidas,drinks,Foods
cine_foto,cine_photo,Entertainment
la_cuisine,la_cuisine,Home
musica,music,Entertainment
casa_conforto_2,home_comfort_2,Home
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,Home
cds_dvds_musicais,cds_dvds_musicals,Entertainment
dvds_blu_ray,dvds_blu_ray,Entertainment
flores,flowers,Entertainment
artes_e_artesanato,arts_and_craftmanship,Entertainment
fraldas_higiene,diapers_and_hygiene,Health Cares
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,Accessories
seguros_e_servicos,security_and_services,Security
Others,Others,Others
